review_id,element_id,rating,ground_truth,predicted,score,text,reason
"R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475054,3.9,Neutral,Positive,0.836,"It's a good data cable and I recommend it to purchase,the only issue was the metal pin is not fixed firmly so it has become loose,otherwise no issue,must purchase,https://m.media-amazon.com/images/I/615SgnWv1ML._SY88.jpg,Charging cable which is sturdy it's not a fast charging cable but the three outlets does the job.,Good sturdy micro usb cable with good charging speeds. Please don't raise prices,Nice product, a simpla microusb cable,😂,Best for this price,Good one",-
"R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160302,3.9,Neutral,Positive,0.836,"It's a good data cable and I recommend it to purchase,the only issue was the metal pin is not fixed firmly so it has become loose,otherwise no issue,must purchase,https://m.media-amazon.com/images/I/615SgnWv1ML._SY88.jpg,Charging cable which is sturdy it's not a fast charging cable but the three outlets does the job.,Good sturdy micro usb cable with good charging speeds. Please don't raise prices,Nice product, a simpla microusb cable,😂,Best for this price,Good one",-
"R2J3Q3BUHJ2S7E,R2H2ELE1DG24VY,R1U1S7X7BPSZBU,R9XVQWX40D175,REHUMWC9Q9EAG,RLEFI0WUITF14,R1M41TK6XDE47C,RUM8TBPKUE5UF",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475057,4.2,Positive,Negative,-0.9821,"I am posting this after a few weeks of using the product.Usage: Continuous, OTT only, no Cable/Dish operator.Average daily usage: 6-8 hours.The TV is a great value-for-money product.Installation: The installation was simple and Amazon assisted installation was smooth, timely and hassle-free.Picture: The picture quality is not great when compared with the smoothness of a Sony, LG and Samsung with these kind of specs. Movies and especially hi-res TV series experience was somewhat diluted as most of the times, the output, while in hi-res , wouldn't look like a movie quality which we are used to of watching in the likes of Sony, Samsung LG etc however, with time, you get used to it and only realize the difference when you see the same movie at someone else's better TV.Sound: Sound output is decent. You wouldn't need additional support to enhance the volume as such.Remote: Sleek, sensitive and user-friendly. It's exactly like Amazon's remote.OS: Same as any smart Android TV. Works smoothly without much lags or hiccups. Switching apps from one to another takes a a couple of seconds more than Sony but unless you have used to of those performances, it looks just fine.Standalone and as your first smart TV,  you wouldn't find any reasons to not like the quality and it would like hi-res from the beginning. It is a great value for money product without a doubt.However, if you are considering this as an alternative or second TV after owning the better ones in the past, you will have a hard time adjusting with it.,Picture quality is good for this price, didn’t faced any lag on UI and browsing other apps. Only negative will be audio, definitely need a sound bar if u are a frequent movie watcher. Overall worth for money u spend. But the installation process is just awful, Amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals , just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money. No demo given on Tv as they have no idea about the product, these things making to think twice or thrice to buy a tv through online.,Screen looks amazing but problem is with processor I believe. If 4k content is getting streamed on device then we can observe the green screen flickers(not so often but problem exists), even remote control is not good as it take at least 2 sec to react for the user action.Reason why I believe processor is bad because I do 4k gaming using PS5 and never encountered problem with the screen.,If you buy TV in a small town shop, it will be delivered and installed immediately within couple of hours. When you want to buy a TV from Amazon, you need to wait for it to be delivered for couple of days and it is understandable. The problem is with the installation, they take so much time to install that you end up regretting buying the product. It’s like you are hungry and food is in front of you but you can’t eat. So I ordered my TV on Monday, it got delivered on Friday and it will be installed on Monday because of weekend where as there is no concept of weekend in small towns. If we had the technician details, we could reach out  s get it installed but that also will be shared 4 hours before.Regarding product, it’s good quality and very good for a average user. Heavy duty like games and continuous usage on some store will be challenging, I guess.,This TV gives good results within the budget, should definitely buy if the budget is 30k but most important point like to mention is after sales service and also the installation part.1) The installation guy didn’t arrive at very first day that was scheduled, even after rescheduling he didn’t came for installation purpose. So strictly be aware of this point.2) The TV I got in offer with 3k discount on ICICI card but although the product came out defective, it had dead pixel on the display which is very bad after period of time.3) Even after the fault was from seller as it was defective piece I didn’t got the replacement for the product and it’s totally unfair deal by Amazon and the seller too.Final verdict is the TV quality and feature are good but the service from seller and Amazon that is got was very poor inspite I was prime member. The seller DAWNTECH ELECTRONICS PRIVATE LIMITED gives very poor service and feel bad that in such cases Amazon will not help you. Thankyou,Team,Also to be added TV installation services with product while delivering and unboxing. NO need to other sub-vendor to getting installation and demo. Also dependency on third-party involvement should be less.Bad experience with TV installation stuff.Pls look into this .,Picture quality good. Sound quality  not upto my 3xpectations. Not able to find the real Dolby stereo effect. Remote not upto the mark.4 ⭐ for picture quality, 3⭐ for both sound and remote quality,Good quality picture but it hangs on home screen",Isu Harga
"R2J3Q3BUHJ2S7E,R2H2ELE1DG24VY,R1U1S7X7BPSZBU,R9XVQWX40D175,REHUMWC9Q9EAG,RLEFI0WUITF14,R1M41TK6XDE47C,RUM8TBPKUE5UF",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160305,4.2,Positive,Negative,-0.9821,"I am posting this after a few weeks of using the product.Usage: Continuous, OTT only, no Cable/Dish operator.Average daily usage: 6-8 hours.The TV is a great value-for-money product.Installation: The installation was simple and Amazon assisted installation was smooth, timely and hassle-free.Picture: The picture quality is not great when compared with the smoothness of a Sony, LG and Samsung with these kind of specs. Movies and especially hi-res TV series experience was somewhat diluted as most of the times, the output, while in hi-res , wouldn't look like a movie quality which we are used to of watching in the likes of Sony, Samsung LG etc however, with time, you get used to it and only realize the difference when you see the same movie at someone else's better TV.Sound: Sound output is decent. You wouldn't need additional support to enhance the volume as such.Remote: Sleek, sensitive and user-friendly. It's exactly like Amazon's remote.OS: Same as any smart Android TV. Works smoothly without much lags or hiccups. Switching apps from one to another takes a a couple of seconds more than Sony but unless you have used to of those performances, it looks just fine.Standalone and as your first smart TV,  you wouldn't find any reasons to not like the quality and it would like hi-res from the beginning. It is a great value for money product without a doubt.However, if you are considering this as an alternative or second TV after owning the better ones in the past, you will have a hard time adjusting with it.,Picture quality is good for this price, didn’t faced any lag on UI and browsing other apps. Only negative will be audio, definitely need a sound bar if u are a frequent movie watcher. Overall worth for money u spend. But the installation process is just awful, Amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals , just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money. No demo given on Tv as they have no idea about the product, these things making to think twice or thrice to buy a tv through online.,Screen looks amazing but problem is with processor I believe. If 4k content is getting streamed on device then we can observe the green screen flickers(not so often but problem exists), even remote control is not good as it take at least 2 sec to react for the user action.Reason why I believe processor is bad because I do 4k gaming using PS5 and never encountered problem with the screen.,If you buy TV in a small town shop, it will be delivered and installed immediately within couple of hours. When you want to buy a TV from Amazon, you need to wait for it to be delivered for couple of days and it is understandable. The problem is with the installation, they take so much time to install that you end up regretting buying the product. It’s like you are hungry and food is in front of you but you can’t eat. So I ordered my TV on Monday, it got delivered on Friday and it will be installed on Monday because of weekend where as there is no concept of weekend in small towns. If we had the technician details, we could reach out  s get it installed but that also will be shared 4 hours before.Regarding product, it’s good quality and very good for a average user. Heavy duty like games and continuous usage on some store will be challenging, I guess.,This TV gives good results within the budget, should definitely buy if the budget is 30k but most important point like to mention is after sales service and also the installation part.1) The installation guy didn’t arrive at very first day that was scheduled, even after rescheduling he didn’t came for installation purpose. So strictly be aware of this point.2) The TV I got in offer with 3k discount on ICICI card but although the product came out defective, it had dead pixel on the display which is very bad after period of time.3) Even after the fault was from seller as it was defective piece I didn’t got the replacement for the product and it’s totally unfair deal by Amazon and the seller too.Final verdict is the TV quality and feature are good but the service from seller and Amazon that is got was very poor inspite I was prime member. The seller DAWNTECH ELECTRONICS PRIVATE LIMITED gives very poor service and feel bad that in such cases Amazon will not help you. Thankyou,Team,Also to be added TV installation services with product while delivering and unboxing. NO need to other sub-vendor to getting installation and demo. Also dependency on third-party involvement should be less.Bad experience with TV installation stuff.Pls look into this .,Picture quality good. Sound quality  not upto my 3xpectations. Not able to find the real Dolby stereo effect. Remote not upto the mark.4 ⭐ for picture quality, 3⭐ for both sound and remote quality,Good quality picture but it hangs on home screen",Isu Harga
"RWSHFGBE1WU3I,R1VBNTH3HSMVMB,RTATA9H2ELJ81,R1B0APD6HVOT8V,R99TNL1C7XQ5O,R37RT17N8YUWT4,R1WG1ARVL9YH61,R2UFM5PKO62Z5R",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475062,3.3,Neutral,Negative,-0.1531,"Charging power is very less. It takes hours to charge even a single phone.,Ok type product. Not very sturdy,Although it is written fast charging. However it charges quite slow compared to original chargers, even when one mobile is charged at one time.,When using a regular cable, it takes about 2 hrs for a full charge. When using this cable to the same socket and charger, it showing 10 hrs.,IPhone charger last for two months only,Charging not fast,Slow charging4500amh battery18 watt Charger4 khant full charge,Slow charging speed",Ada kata 'Tapi' (Kontras)
"RVEWH0LAEO3NH,R3E42NTD6HXN1Q,R3IC0VLPIDBPTY,R1F0O9EAQGRSQS,R2B02VD2RPE2SE,RO2E58ZA8YH7E,R10AUMHF2MJRRU,R1BBQYI4QO69ID",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475064,3.6,Neutral,Positive,0.9612,"Overall replacement of original samsung remote.its compatible easily with my samsung uhd tv.but there is no voice command in the remote.,Works well. Will comment on durability after using it for a few months.,It uses two AA battery.Seems durable.,Product quality of good. But the channel button doesn't work. I did return and replaced the same product, but it's th same result, channel button doesn't work,Good to go with this rather than purchasing a original one from samsung,we have an expensive samsung TV.TV is great but original remote started draining battery and we had to put in new battery every 5 days which was not ideal.replacing with original remote is a costly affair ( 4k ?)this is a good cheap replacement- has all the functionalities except voice (which we rarely use),Everything works fine except number keys which is very important to change channels , what a waste of money had to buy another remote,Like the design",-
"RJ19CW7WCSFUI,R3W3PK017U6SIG,RJB32KHP5D5O3,R3POHJCTG2XX71,R1EKLLUH4KRRS9,R2S00YTPGW362,R24N5IPVE7LGCM,R2ZOR8P02Z5J8F",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475070,3.7,Neutral,Positive,0.5719,"The button contacts are not very good.,Doesn't look as standard and durable as original product,Purchased from Seller: Smart Place Store;Remote works but low build quality. Not original.,Material is very average,Works as described,Not meet expectations,but O K.,It's a good product.,Parts are likely to break even in case of small fall.",-
"R3MXMT6V18JJ1P,R1BQE9L2M5L12J,R369X3BEG4QPC4,R1ZBU0U8R5KBQD,R1A0NYJ6MOX3U3,R3RYEYCYNV47BZ,R28TZ1RZWX14PP,RNGN2ZRL685Z5",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475073,3.7,Neutral,Positive,0.8854,"Nice,Works very well with Airtel DTH. The pairing is as same as every Airtel DTH remote. All the buttons works properly.,Nice,Good substitute for original. Nice product,ok,Poor quality! Stopped working in a month,This remote will work only for the new TV and not able to connect even follow all the procedure mentioned on guide.,You need to sync with original tv remote to make volume, power, mute and av buttons work. You can Google the same its very easy.",-
"R2LX1M52C4KNJA,R2BXIXVBJUUUEC,R19EYLO6N0AKLG,R2PGJZAQVR5XQE,R20A9E5E100YPR,RTSX75DFGY3VC,R1WGYKGMT7EHPY,R1ZXKR6UFH5VNW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475089,3.9,Neutral,Positive,0.8402,"Packing is good .. they have sent a box for itAlso the quality looks good and decently fast chargingGood product for the price paid,Nice product,nice charging cable for low cost.,Highly recommended,Quite nice cable in this price, charging my iPad smoothly  Go for it,I like the product and resnable precise.,Worth buyinh,Nice",-
"R3MHRRK05RD01A,R14A3U8XTK1D7X,R1F10MFQBXZA8W,RAT511FHTC8Q4,R11FM1DRG1FNOI,R1RZDRQI3RD780,RJS87YIWGG7GF,R2JI1L2FTMA3ZW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475091,3.4,Neutral,Positive,0.9425,"Overall experience in this price is good.You can change 5 modes of audio.Play Store not support, but their app store has almost all apps, which we uses on tv like Netflix, Prime, YouTube.We can't adjust brightness of tv.,Im giving this review after 6 moths usage,The sound quality was next level,Picture quality also good...,LED is very good but remote is not correct, given bad remote which is not working.,Remote speaker is not. Why? Give me demo for speaker.,Picture quality best and sound,Storage 4GBRam 512MBNot support google playstore,Good,https://m.media-amazon.com/images/I/711DN0Oa2pL._SY88.jpg",-
"R3AZDEK3MQA3RA,RXF3HCCBWV0VB,R6CVYFDUXBS36,R1QMN1WQJIWAB7,R2MOVGGWRV4ZPE,R2Z00XYFTN4T2Y,R294UWCBOTKD8H,R3NPDCAH895UHB",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475095,3.6,Neutral,Positive,0.9036,"Was working fine with window 10 old computer but is not installable with new system on Window 11,Overall very good item,Easy to install ok signal,This was used to accesd wifi connectivity for desk top, and TV, worked fine,👍,like,Good product, satisfied with its performance.,It worked on most devices where driver could be installed, even worked with linux system too but for the reason I bought simply didn't get solved with it.. though not returning it as it worked in my computer without any issues.",-
"R32XZQTB1BP0J8,R2NHRHTL743ZMA,R10FKRAEORI9L,REVEDLADDDB1V,R36GKVZB8QEVRH,R2GVIPC51M5OO6,R353OSCK8VF5E3,R30ADKRID5GLDX",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475098,3.7,Neutral,Positive,0.7933,"Working very nice ok,Sahi paise ke hisab se sahi kam karta hai,So, the WiFi adapter is working well as of now. It has a CD for installation. However, it self installed without the CD. But it showed that installation wasn't complete even though it was and asked for security password once again after restarting the laptop.,Its worth for money,Okay, working.,Good,Valuable produc,Good USB Wi-Fi dongle for home and office works",-
"R1MTTFP4GWHWC8,R2A03DS956BN4T,R21TRTA1VGGCD3,R1UJJ36GMAT8P8,RLLTRV5LUMPGQ,R1A3XYRF4ESBLP,RIOC9B1740DPI,R12CWR7TITHMF8",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475099,3.8,Neutral,Positive,0.9401,"Not value for money.. not satisfied,Good,Required Replacement but replaced one is Good,Good pairing and connectivity,Got a used remote. As you can see in the pic, the back button is discolored. Since it is working and we are in an urgent need of a remote, not returning. Sharing so that other people stay aware of this.Edit - Requested a replacement and the replaced one looks good.,Almost look like original. Just the brand markings are missing.Works fine with my TV. Good compatibility.All features works fine and as expected.Bcuz of all this, it's a VFM product to me.,Working fine can buy,It is working but expensive. Remote control should be waterproof . Please make it waterproof. I'll pay even 1500.",-
"R168J8VQSY0OH5,R18LTVF8A76SR3,RVRLO0A6SRBIU,R3VH49P53CT04T,RSEQE3YO0NKC0,R3A8QATMFQYP3W,R374YBV58QVZRY,R233DLMRTKEDS4",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475100,3.7,Neutral,Positive,0.1546,"Product  is nice,Decent charging cable for the price. This does not carry data. Also the retractor is not that great. Within a few uses it stops retracting unless you hold both ends and try to pull. No issues in charging,just received the product, seems good, got a black coloured product, checked all the three types cable head. Durability will be known after the regular use. Seems worth the value.,Good product,This is a useful product ever✅,Every thing ok,Good,क्वालिटी में अच्छा नहीं है पर सही चल रहा है।",-
"R306AVQBBWQ1YE,R2QUKWK9SVJK5Y,R1DC9LG4LVK25,R2AUE6YKA26YXZ,R390FSCLMOWBPU,R2HMOFBLHZ3014,R1U4128PGOJW3J,R1LB6DVEJPMA1Q",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475113,4.1,Positive,Negative,-0.8288,"It's awesome product. Fast mobile charging cable. I like it.,Good product just wish it was available in black white gets dirty easily.,For a month I had no issues with this, then it started becoming more and more useless. Don't buy it. It looks alright but it is as bad as a local cable. My phone charges slowly, have to disconnect and connect the cables from the ports and reassemble them and still it would reduce the battery. I haven't used a worse cable. Very disappointing and money waste. Also, the packaging was open and not sealed when I recieved it. The seller is a fraud.,Little more grip should be given while plugin out on type-C pin side.so, it can smoothly remove instead of sudden out with little jerk.,first of all it has 'L' shaped port for easy to use while on charge as i'am using it for my car for android auto.over-all its excellent.,https://m.media-amazon.com/images/I/81UCbJvmdmL._SY88.jpg,Realme 6 30W fast charging adapter. Its a slow charging cable vooc not support,Though they call it as fast charging cable, it actually is NOT a fast charging cable.I tried it with my samsung fast charging adapter. Its a slow charging cable, but the look, sturdiness etc are impressive.Planning to return the product.",Ada kata 'Tapi' (Kontras)
"R2OMPDR9UR512Z,R17E6HA16QAPSB,R1WWYE6UETR0U5,RTK0O34YU9CJW,R1TLCKD66VSYHG,RVSKWY5IP3JQB,R3R6UOU1IUUI8Z,RBHGRXXSWSZY0",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475114,3.6,Neutral,Positive,0.8402,"Sometimes the remote gets disconnected with the device automatically.,Press home button for 10-20 sec, it is working smoothly like the original.,Not value for money,Not working.not even three months,Value for money.,Submitting after almost 10 days of use. Volume button doesn't work from day 1. Rear battery cover is lose and can fall off anytime. Other functions on the remote like Alexa voice commands, menu, home button, scrolls work fine.,Works fine. Wrong instructions..a bit too expensive. Does the job.,I liked It A Alot,Nyc Remote,Just like Original",-
"R1B1J4358749FT,R1BF5SS2AD8WCT,R3M2ZIVIR8KIFB,R4FCBHSKL92PJ,R2XO77R7XKY30O,RS96LTGI8BWQ7,RKYSZQWYQIFBV,R284MA5RVLO6CF",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475115,3.5,Neutral,Positive,0.6475,"Slow charging, charging speed is not fast,Not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily. Need to push in byhand.Scrumbles within the case. Not recommended,It doesn't support Apple car play connectivity. Good quality. BUT 👎When winding down the cable most of the times gets entangled.,Usefull,charges, but doesn't support Apple car play,Built in quality of plastic roll could have been better,Useful, 3 types  in one time charging,The device gets tangled easily if you don't reel it in and out with both ends tangential to the housing reel. Otherwise it is a compact and useful device to have in your car.",-
"R15R4BV0MI9SH1,R3L67FMAFHYG6H,R1GR1N3BCB3VVZ,R1E0GBU7BQ6CSV,R28IGDF71QMQZO,R3NFH3J30CCSO9,R3VCM9XQOZO7IX,RD2MZ0Y1MQGF2",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475116,3.8,Neutral,Positive,0.9557,"i like the made of the product but it doesn't support fast charging  and it dont connect to android auto in car.,Great,Connectors are compatible. Charging power delivery depends on the adapter used. Build quality is good. Suitable lenght.,3 leads working,user friendly for car drives,Doesn't charge proper, tried all possible ways. It is so slow and can support only one device at a time.,Quality, toughness and power supply are giving you the best 👌 👍.,Product is superb, Cable is durable and thick nylon string is used.3 pins are most useful.My 5000 mah mobile battery can charge in 2 hrs fully. Other devices can charge early.While charging no device's are hitting.",-
"R2RC9IQ0X5NHFU,ROE0YIUOFNATH,R1UUDX7FZOB74Y,R3HADV1CIZ9873,R3AD7NBWNZ4BF6,R2SFOHTIKJWFAA,R1NXPLBQC25OFZ,R1SNHI5TU1ORFH",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475118,3.7,Neutral,Positive,0.6249,"Some buttons not working in first week of purchase. Quality not upto the mark.,https://m.media-amazon.com/images/I/61YEe372yJL._SY88.jpg,Works as expected.,Good product with great compatability with firestick,Liked the utility, build and finish,It's not working moreover not being able to initiate return/refund after so many tries,एक दम मस्त चलरहा है,https://m.media-amazon.com/images/I/61QADVOkXnL._SY88.jpg",-
"R9PTPIYPJWRIL,R8LD3TIJ6NJ6U,R1T72BEQOOS87D,R1WE2LG38IKMZL,R8K3FFKBEQUL8,REYYFWWGQT2H1,R2HU2LG1GPCLZ8,R2FQGWWXRQC54V",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475122,4.3,Positive,Negative,-0.2621,"Seems OK. Have not tried it with HD quality videos. Value for money.,Very high and in budget hdmi cable by amazon basic,Nice,I bought this for my android tv stick and it works very good with it.Quality of the cable is very good and rich.It doesn't lose the picture and sound quality of TV stick,It is working as expected,I purchased splitter but it didn’t work properly and ordered for hdmi male female wire which helped me to view sources properly,Good. Serves the purpose. Had to buy this as for some weird reason the amazon firestick (bern working for 3 years) is no longer working when connected to my Samsung TVs HDMI port (all 4 ports). Searching in google did not help as this issue seem to be common with Samsung TVs but with no possible solution. So wanted to check if the firestick works in my computer monitor but the HDMI slot in the monitor was unreachable for a direct connection and hence bought this cable. The firestick worked well with monitor. What's even weirder is the firestick works fine when connected to the same Samsung TV using this cable. Problem solved, although no clue how the hell it got fixed :),The quality of this cable is quite good. Been using it for a couple of months now, to connect a laptop or a desktop to a Dell monitor. Picture quality for Full HD works fine along with sound output, not sure about 4K though since I don't have a 4K monitor. Price should be less than Rs. 250 which I paid, should be in the Rs. 100/- to Rs. 150/- considering the quality and other alternative products available in the brick and mortar stores. If you are willing to pay a bit extra then this is just fine.",Isu Harga
